#cluster_ID	number_of_sequences	number_of_samples
A1	1276	2
A2	2	1
A3	4	1
A4	562	2
A5	54	2
A6	3	2
A7	2	1
A8	2730	2
A9	56	2
A10	167	2
A11	16	2
A12	6	2
A13	63	2
A14	97	2
A15	69	2
A16	50	2
A17	100	2
A18	22	2
A19	99	2
A20	2	2
A21	66	2
A22	22	2
A23	109	2
A24	3	2
A25	28	2
A26	61	2
A27	37	2
A28	8	2
A29	47	2
A30	2	2
A31	21	2
A32	2	2
A33	2	2
A34	2	2
A35	4	2
A36	2	2
A37	4	2
A38	70	2
A39	4	2
A40	4	2
A41	16	2
A42	2	2
A43	31	2
A44	16	2
A45	29	2
A46	2	2
A47	12	2
A48	5	2
A49	2	2
A50	3	2
A51	3	2
A52	2	2
A53	11	2
A54	5	2
A55	6	2
A56	4	2
A57	5	2
A58	2	2
A59	3	2
A60	2	2
A61	2	2
A62	4	2
A63	3	2
A64	2	2
A65	2	2
A66	3	2
A67	8	2
A68	19	2
A69	7	2
A70	2	2
A71	19	2
A72	4	2
A73	5	2
A74	2	2
A75	4	2
A76	5	2
A77	3	2
A78	2	2
A79	3	2
A80	3	2
A81	5	2
A82	2	1
A83	4	2
A84	5	2
A85	4	2
A86	2	2
A87	7	2
A88	44	2
A89	2	2
A90	2	2
A91	3	2
A92	7	2
A93	6	2
A94	18	2
A95	17	2
A96	4	2
A97	5	2
A98	5	1
A99	4	2
A100	2	1
A101	6	1
A102	6	1
A103	2	1
A104	4	1
A105	3	1
A106	3	1
A107	2	1
A108	3	1
A109	4	1
A110	3	2
A111	3	1
A112	4	2
A113	2	1
A114	2	1
A115	4	2
A116	7	1
A117	4	2
A118	1627	2
A119	134	2
A120	13	2
A121	3	2
A122	2	1
A123	4	2
A124	2	1
A125	6	2
A126	12	2
A127	24	2
A128	4	2
A129	28	2
A130	30	2
A131	3	2
A132	11	2
A133	23	2
A134	2	2
A135	830	2
A136	12	2
A137	5	1
A138	3	1
A139	9	2
A140	3	2
A141	7	2
A142	2	1
A143	2	1
A144	181	2
A145	5	1
A146	52	2
A147	2	1
A148	2	1
A149	2	2
A150	2	2
A151	2	1
A152	3	2
A153	2373	2
A154	23	2
A155	2	1
A156	2	2
A157	5	2
A158	237	2
A159	8	2
A160	11	2
A161	4	2
A162	20	1
A163	12	2
A164	65	2
A165	3	2
A166	4	1
A167	2	1
A168	10	1
A169	6	2
A170	364	2
A171	2	1
A172	4	1
A173	26	2
A174	6	1
A175	3	2
A176	5	1
A177	30	2
A178	2	1
A179	12	2
A180	7	2
A181	6	1
A182	2	1
A183	2	2
A184	4	2
A185	7	1
A186	2	1
A187	2	1
A188	2	1
A189	3	2
A190	7	1
A191	4	1
A192	4	2
A193	2	1
A194	3	1
A195	2	1
A196	3	1
A197	3	2
A198	92	2
A199	34	2
A200	2	1
A201	6	1
A202	2	1
A203	27	1
A204	7	2
A205	17	2
A206	5	1
A207	4	1
A208	3	2
A209	5	1
A210	15	2
A211	22	2
A212	3	1
A213	3	2
A214	6	1
A215	2	1
A216	4	1
A217	8	1
A218	2	1
A219	5	2
A220	2	1
A221	9	1
A222	7	1
A223	7	1
A224	176	2
A225	3	1
A226	2	1
A227	5	2
A228	2	1
A229	3	2
A230	5	2
A231	7	2
A232	54	2
A233	727	2
A234	12	1
A235	2	2
A236	49	2
A237	2	2
A238	77	2
A239	6	2
A240	2	1
A241	5	1
A242	3	2
A243	2	1
A244	67	2
A245	51	2
A246	5	1
A247	15	2
A248	154	2
A249	19	2
A250	7	2
A251	7	2
A252	2	1
A253	11	2
A254	10	2
A255	18	2
A256	2	2
A257	76	1
A258	35	2
A259	2	2
A260	1182	2
A261	4	2
A262	2	2
A263	2	2
A264	2	1
A265	15	2
A266	24	2
A267	2	1
A268	12	2
A269	290	2
A270	4	1
A271	88	2
A272	4	2
A273	3	2
A274	10	1
A275	671	2
A276	14	1
A277	136	2
A278	19	1
A279	2	2
A280	5	2
A281	18	2
A282	59	2
A283	3	2
A284	37	2
A285	7	2
A286	44	2
A287	4	2
A288	34	2
A289	5	2
A290	17	2
A291	16	2
A292	72	2
A293	11	2
A294	34	2
A295	6	2
A296	8	2
A297	40	2
A298	4	2
A299	4	2
A300	5	2
A301	14	2
A302	3	2
A303	4	2
A304	3	2
A305	36	2
A306	3	2
A307	4	2
A308	2	2
A309	45	2
A310	4	2
A311	4	2
A312	3	2
A313	2	2
A314	2	2
A315	3	2
A316	21	2
A317	5	2
A318	2	2
A319	4	2
A320	19	2
A321	5	2
A322	2	2
A323	12	2
A324	7	2
A325	3	2
A326	2	1
A327	13	2
A328	2	2
A329	4	2
A330	3	2
A331	2	2
A332	4	2
A333	4	2
A334	5	2
A335	2	1
A336	3	2
A337	4	2
A338	2	2
A339	2	2
A340	10	2
A341	4	2
A342	11	2
A343	4	2
A344	2	1
A345	2	1
A346	3	1
A347	2	1
A348	2	1
A349	9	2
A350	3	1
A351	2	1
A352	2	1
A353	3	1
A354	3	1
A355	3	1
A356	6	1
A357	4	1
A358	4	1
A359	2	1
A360	4	2
A361	2	1
A362	5	2
A363	2	1
A364	3	1
A365	3	1
A366	2	1
A367	2	1
A368	2	1
A369	5	2
A370	4	1
A371	7	1
A372	6	1
A373	3	2
A374	2	1
A375	6	2
A376	3	1
A377	2	1
A378	2	1
A379	61	2
A380	2	2
A381	4	2
A382	31	2
A383	18	1
A384	35	2
A385	448	2
A386	14	1
A387	28	2
A388	4	2
A389	3	2
A390	18	2
A391	4	1
A392	79	1
A393	3	1
A394	11	1
A395	6	1
A396	2	1
A397	2	1
A398	2	1
A399	7	1
A400	3	1
A401	3	1
A402	6	1
A403	12	1
A404	2	1
A405	13	1
A406	3	2
A407	4	1
A408	2	1
A409	8	2
A410	33	2
A411	5	2
A412	8	1
A413	3	2
A414	2	1
A415	4	2
A416	21	2
A417	43	2
A418	5	2
A419	3	1
A420	5	2
A421	4	1
A422	8	1
A423	65	2
A424	2	1
A425	2	2
A426	2	1
A427	24	2
A428	11	2
A429	74	1
A430	9	1
A431	22	1
A432	10	2
A433	15	2
A434	2	1
A435	6	2
A436	3	2
A437	8	1
A438	3	1
A439	57	2
A440	407	2
A441	34	2
A442	33	2
A443	5	2
A444	2	1
