#clone	Sample1	Sample2
A1	4463	832
A2	28	0
A4	1095	781
A5	331	6
A8	14673	16983
A117	1	3
A144	326	311
A145	22	0
A1720	1	0
A1721	1	0
A118	4015	2790
A1722	2	0
A146	209	99
A153	9618	574
A245	404	2
A154	23	34
A158	486	249
A159	18	1
A127	7	18
A1723	1	0
A163	33	3
A9	26	47
A165	2	1
A167	2	0
A1724	1	0
A220	2	0
A221	24	0
A222	29	0
A224	1047	21
A1725	1	0
A232	165	27
A233	239	720
A1726	1	0
A234	63	0
A235	2	5
A238	367	62
A239	26	6
A242	3	6
A243	3	0
A244	63	140
A246	26	0
A253	10	8
A1398	5	1
A257	128	0
A10	58	175
A168	13	0
A258	176	38
A11	7	13
A1727	1	0
A268	16	21
A269	238	106
A270	18	0
A1728	1	0
A271	8	219
A272	9	1
A1729	1	0
A273	2	1
A275	244	523
A1399	2	0
A276	17	0
A277	69	96
A278	58	0
A1400	3	1
A260	5875	9779
A812	15	0
A369	13	1
A169	8	1
A229	2	1
A370	8	0
A12	3	3
A1730	9	0
A372	17	0
A251	14	4
A1731	2	0
A266	144	11
A379	150	101
A382	8	121
A383	22	0
A1732	1	0
A384	37	3
A385	960	1484
A281	7	20
A386	66	0
A409	8	11
A282	18	63
A410	115	35
A170	4856	282
A1733	1	0
A416	12	63
A1734	2	0
A417	96	24
A1735	3	0
A421	8	0
A422	10	0
A423	465	12
A1736	2	0
A198	95	11
A428	19	1
A429	92	0
A1737	1	0
A119	76	75
A431	88	0
A29	17	50
A15	27	73
A1738	2	0
A432	5	5
A1739	1	0
A433	41	26
A434	21	0
A1740	1	0
A439	53	5
A440	978	868
A441	65	23
A442	13	39
A13	22	51
A446	51	33
A211	21	2
A448	2	0
A283	1	4
A1741	2	0
A454	24	1
A455	143	238
A458	189	12
A459	21	0
A1742	1	0
A460	18	0
A464	119	21
A471	35	5
A474	17	14
A476	4	0
A1743	1	0
A480	22	0
A481	81	0
A1744	1	0
A482	6	0
A248	161	368
A483	57	58
A77	3	2
A1401	2	0
A135	75	2435
A484	74	3
A490	4	0
A14	34	101
A491	2	1
A171	3	0
A164	62	3
A493	7	0
A1402	4	0
A494	2	1
A495	4	7
A496	69	0
A1403	3	1
A500	106	0
A501	2	0
A1745	1	0
A1746	2	0
A279	2	1
A502	185	0
A503	6	8
A504	56	63
A284	15	39
A846	11	0
A505	42	0
A1747	1	0
A506	14	2
A507	17	24
A508	4	0
A512	31	0
A1748	1	0
A513	499	16
A515	7	0
A1749	1	0
A1750	1	0
A517	60	45
A497	177	75
A518	7	0
A519	169	200
A1751	1	0
A524	63	39
A526	26	0
A1752	1	0
A527	42	0
A192	4	1
A528	3	0
A529	21	14
A285	3	4
A1753	2	0
A199	26	8
A1754	1	0
A531	1	3
A172	7	0
A534	25	0
A1755	1	0
A535	156	385
A545	66	0
A547	2	0
A286	233	409
A173	31	3
A1756	1	0
A1404	2	0
A1067	7	0
A548	6	8
A1405	3	0
A203	30	0
A1757	1	0
A430	9	0
A1758	1	0
A549	23	0
A550	1	1
A449	585	0
A552	10	25
A1759	1	0
A1760	1	0
A554	63	0
A1761	1	0
A129	7	22
A556	27	0
